feat,grp,op,thr,lab,n_veto,veto_pnl,rest_pnl,diff,t,yrs,all_yrs
atr_ratio,bear_call,>=,1.155665315022807,top 20%,361,-3.3,3.17,-6.47,-1.72,"[np.float64(0.8), np.float64(-20.0), np.float64(-3.1), np.float64(-9.6), np.float64(-2.5), np.float64(-10.3)]",True
atr_ratio,bear_call,>=,1.269466797696055,top 10%,181,-9.26,3.12,-12.38,-2.59,"[np.float64(-2.5), np.float64(-13.8), np.float64(-17.1), np.float64(-19.2), np.float64(4.8), np.float64(-14.0)]",True
nr7,bull_put,>=,1.0,flag = 1,979,9.8,7.33,2.46,0.85,"[np.float64(-5.1), np.float64(-5.3), np.float64(5.9), np.float64(9.6), np.float64(5.2), np.float64(10.5)]",False
nr7,bear_call,>=,1.0,flag = 1,277,7.34,0.88,6.46,1.54,"[np.float64(-20.2), np.float64(-12.4), np.float64(7.1), np.float64(2.1), np.float64(23.1), np.float64(8.3)]",False
inside,bull_put,>=,1.0,flag = 1,806,6.74,7.86,-1.12,-0.34,"[np.float64(-25.0), np.float64(14.3), np.float64(10.1), np.float64(-0.1), np.float64(-14.9), np.float64(2.2)]",False
inside,bear_call,>=,1.0,flag = 1,189,8.56,1.09,7.47,1.62,"[np.float64(-22.5), np.float64(-2.6), np.float64(11.4), np.float64(-0.3), np.float64(15.4), np.float64(13.4)]",False
rv20,bull_put,<=,0.13189063525278819,bottom 10%,629,12.06,7.23,4.83,1.59,"[np.float64(-6.7), np.float64(5.4), np.float64(11.5), np.float64(22.8), np.float64(4.0), np.float64(-5.9)]",False
rv20,bull_put,<=,0.15797262786053845,bottom 20%,1258,10.01,7.14,2.87,1.17,"[np.float64(-2.5), np.float64(9.2), np.float64(-2.2), np.float64(18.8), np.float64(-4.7), np.float64(-2.1)]",False
rv20,bull_put,>=,0.3362392164162159,top 20%,1258,9.34,7.31,2.03,0.76,"[np.float64(18.3), np.float64(-11.4), np.float64(20.0), np.float64(-3.1), np.float64(-4.8), np.float64(11.8)]",False
rv20,bull_put,>=,0.4183484337938308,top 10%,629,6.38,7.87,-1.48,-0.43,"[np.float64(18.0), np.float64(-22.8), np.float64(-19.5), np.float64(-8.5), np.float64(13.6), np.float64(18.3)]",False
rv20,bear_call,<=,0.16334903144670887,bottom 10%,181,1.52,1.92,-0.4,-0.08,"[np.float64(-22.1), np.float64(-15.4), np.float64(-1.9), np.float64(21.7), np.float64(-8.6), np.float64(-14.2)]",True
rv20,bear_call,<=,0.19513708359262535,bottom 20%,361,4.93,1.11,3.82,1.02,"[np.float64(21.1), np.float64(-2.1), np.float64(1.0), np.float64(14.7), np.float64(-8.4), np.float64(14.7)]",False
rv20,bear_call,>=,0.393879367962101,top 20%,361,-7.08,4.12,-11.2,-3.05,"[np.float64(-0.9), np.float64(44.5), np.float64(-12.6), np.float64(-14.4), np.float64(1.2), np.float64(-29.7)]",False
rv20,bear_call,>=,0.49552007081404903,top 10%,181,-6.95,2.86,-9.81,-2.07,"[np.float64(3.6), np.float64(86.2), np.float64(-15.9), np.float64(-13.7), np.float64(9.0), np.float64(-11.8)]",False
sr10,all,<=,0.5771137748356495,bottom 10%,810,1.99,6.91,-4.92,-1.68,"[np.float64(-9.8), np.float64(-14.1), np.float64(-3.0), np.float64(-3.6), np.float64(-0.5), np.float64(0.3)]",True
sr10,all,<=,0.9237568513152745,bottom 20%,1619,4.37,6.93,-2.56,-1.14,"[np.float64(-9.8), np.float64(-5.6), np.float64(-8.8), np.float64(-2.4), np.float64(3.3), np.float64(4.4)]",False
sr10,all,>=,3.2688149979815,top 20%,1619,7.96,6.03,1.94,0.88,"[np.float64(-30.4), np.float64(12.4), np.float64(3.3), np.float64(7.7), np.float64(-5.5), np.float64(6.3)]",False
sr10,all,>=,4.07423964689744,top 10%,810,7.7,6.27,1.43,0.48,"[np.float64(-48.9), np.float64(11.6), np.float64(0.5), np.float64(14.8), np.float64(-7.5), np.float64(16.7)]",False
sr20,all,<=,0.8777835873768915,bottom 10%,810,3.35,6.76,-3.41,-1.14,"[np.float64(0.2), np.float64(-5.8), np.float64(-11.9), np.float64(-2.0), np.float64(-0.4), np.float64(5.5)]",False
sr20,all,<=,1.4383715041436536,bottom 20%,1619,4.04,7.01,-2.97,-1.3,"[np.float64(4.9), np.float64(5.8), np.float64(-14.2), np.float64(-6.6), np.float64(-6.4), np.float64(4.6)]",False
sr20,all,>=,4.9731423636399805,top 20%,1619,6.6,6.37,0.24,0.11,"[np.float64(-11.3), np.float64(0.9), np.float64(0.7), np.float64(9.5), np.float64(0.4), np.float64(-2.5)]",False
sr20,all,>=,6.000658258997596,top 10%,810,8.07,6.23,1.84,0.61,"[np.float64(-17.6), np.float64(10.8), np.float64(0.2), np.float64(9.0), np.float64(3.2), np.float64(-9.7)]",False
